位号,型号,封装,数量,板,备注
U1,RP2040,QFN-56 7x7 P0.4,1,手柄,主控
U2,W25Q16JV,SOIC-8,1,手柄,QSPI Flash
U3,AMS1117-3.3,SOT-223,1,手柄,5V→3V3
U4,Si24R1,QFN-20 或 8P 模块,1,手柄,CE=GP25 CSN=GP4 SCK=GP11 MOSI=GP16
U5,AC632N / AC6321A 模块,模块,1,手柄,UART RX ← GP24  不要烧 AC6956A
Y1,12MHz 18pF,3225,1,手柄,
JUSB1,USB-C 16P,USB-C,1,手柄,设备口 D+/D− = RP2040 脚 47/46
JUSB2,USB-C 16P,USB-C,1,手柄,认证口 D+=GP3 D−=GP2  插 NXP7105
J1,4P 2.54,排针,1,手柄,杰里 GND 3V3 GP24 NC
J2,4P 2.54,排针,1,手柄,OLED GND 3V3 SDA=GP0 SCL=GP1
J3,3P 2.54,排针,1,手柄,VBAT ADC GP29 必须经 100k/100k
RdivH/RdivL,100k,0603,2,手柄,VBAT 分压到 GP29
RusbP/RusbN,27Ω,0603,2,手柄,USB 串联
Cdec,100nF,0603,12,手柄,
Cbulk,10uF 16V,0603,4,手柄,
Cx,15pF,0603,2,手柄,晶振负载
D1–D16,WS2812B,5050,16,手柄,GP28 走线顺序；第 16 颗电量灯
SWxx,6x6 轻触,插件,21,手柄,18 键+TURBO+BOOT+RESET  无 FN
OLED,SSD1306 1.3 128x64,I2C 模块,1,手柄,右上角 电量%+L/B/G
U1,RP2040,QFN-56 7x7,1,接收器,USB-A 键盘接收器外形 40×18 mm
U2,W25Q16JV,SOIC-8,1,接收器,
Y1,12MHz,3225,1,接收器,
U3,Si24R1,QFN-20 或 8P,1,接收器,CE=GP1 CSN=GP2 SCK=GP3 MOSI=GP4 MISO=GP5
JUSB,USB-A 公头,金手指,1,接收器,RP2040 原生 USB  枚举 Switch Pro
Cdec,100nF,0603,4,接收器,
Cbulk,10uF,0603,2,接收器,
