Reference,Value,Footprint,Qty,Notes
U1,RP2040,QFN-56 7x7 P0.4,1,Raspberry Pi
U2,W25Q16JVUXIQ,SOIC-8,1,or W25Q128
U3,AMS1117-3.3,SOT-223,1,5V to 3V3
U4,Si24R1 / nRF24L01+,2.54 8-pin module,1,2.4G TX
Y1,12MHz 18pF,3225,1,USB bootloader requires 12MHz
JUSB1,USB-C 16P,USB-C-16,1,device to PC/console
JUSB2,USB-C 16P,USB-C-16,1,PS/Xbox auth dongle host
J1,4P 2.54,Header,1,Jerry AC632N UART 3V3 GND GP0
J2,4P 2.54,Header,1,SSD1306 I2C GP26/27
SW_BOOT,6x6 tactile,TH,1,USB boot
SW_RST,6x6 tactile,TH,1,RUN to GND
BTN_*,Arcade / 6mm pad,TH 1.2mm,20,see silk GP numbers
C_bulk,10uF 16V,0805,4,3V3 and 5V
C_dec,100nF,0402,12,each IOVDD + flash + radio
C_xosc,15pF,0402,2,crystal load
R_usb,27 ohm,0402,2,USB_DP/DM series
LED,WS2812B,5050,14,GP28
